id;flock_number;material_code;chiks_sampling_weight;chiks_condition;quantity;comment;created_by;created_on
1;payment e-markets system;Organic;35597;hack;leading-edge;Ergonomic Steel Gloves;85546;2019-10-07
2;Shoes Music connect;Hollow Shoes systems;39850;Personal Loan Account;HTTP explicit;Personal Loan Account;50313;2019-10-07
3;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;94023;North Dakota incubate deposit;haptic parsing;revolutionize Branding;90535;2019-10-08
4;analyzing;Fantastic;1822;Generic;robust withdrawal generate;Garden open-source hybrid;11816;2019-10-07
5;extensible Accountability Handmade Cotton Bacon;intermediate Table quantify;80683;Producer infrastructures;Robust Louisiana;Infrastructure SSL bandwidth;75087;2019-10-07
6;Configurable iterate Liechtenstein;navigating encoding;89552;streamline;Interactions;Fantastic time-frame Quality;95060;2019-10-07
7;Borders Practical;methodical;32866;Danish Krone parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;35091;2019-10-07
8;Liaison;program Auto Loan Account Refined;8410;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;81279;2019-10-08
9;Principal Pennsylvania dynamic;Sleek navigate Oklahoma;42422;National;supply-chains;Tools;46866;2019-10-07
10;hack;Fresh payment synthesize;58336;Markets;Glen Refined;Mandatory Assistant;1215;2019-10-07
