id;flock_number;material_code;material_name;stock_in_hand
1;Credit Card Account;navigate;Re-contextualized;80313
2;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;85835
3;neural-net red;Buckinghamshire Future-proofed deposit;Quality;39757
4;Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216
5;Borders content-based;Tasty Customer Human;pink even-keeled;70035
6;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;94013
7;Supervisor clear-thinking;Latvia;Ports Manager Fish;1807
8;Bedfordshire;navigate;program alarm;30806
9;Benin Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;43439
10;dot-com payment Libyan Dinar;white sensor local;calculate;4360
