id;flock_number;material_code;material_name;stock_issued
1;Representative;Response Human;back up Factors;33075
2;Venezuela Wisconsin;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;39469
3;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;portal calculating Metal;70891
4;France protocol;open-source HDD;Sleek Beauty Auto Loan Account;19427
5;Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;67202
6;implementation;Wallis and Futuna;generating;86040
7;Assimilated;compressing;Brunei Darussalam interface;82786
8;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;4106
9;morph content bypass;Electronics;Refined infomediaries Som;5819
10;Corporate;Enterprise-wide Benin;Tuna Response invoice;51669
